outcome,group1,group2,meandiff,p-adj,lower,upper,reject
failure_count,G1,G2,-1.875,0.4181,-5.4174,1.6674,False
failure_count,G1,G3,-10.1667,0.0,-13.7091,-6.6243,True
failure_count,G2,G3,-8.2917,0.0,-11.8341,-4.7493,True
passed_tests,G1,G2,1.875,0.4181,-1.6674,5.4174,False
passed_tests,G1,G3,10.1667,0.0,6.6243,13.7091,True
passed_tests,G2,G3,8.2917,0.0,4.7493,11.8341,True
failure_diversity,G1,G2,-0.0417,0.9776,-0.5336,0.4502,False
failure_diversity,G1,G3,-0.8333,0.0004,-1.3252,-0.3414,True
failure_diversity,G2,G3,-0.7917,0.0007,-1.2836,-0.2998,True
norm_fail_AI,G1,G2,-0.088,0.4001,-0.25,0.0741,False
norm_fail_AI,G1,G3,-0.3472,0.0,-0.5093,-0.1851,True
norm_fail_AI,G2,G3,-0.2593,0.0008,-0.4213,-0.0972,True
norm_fail_CO,G1,G2,-0.0542,0.7083,-0.2179,0.1095,False
norm_fail_CO,G1,G3,-0.2513,0.0013,-0.415,-0.0876,True
norm_fail_CO,G2,G3,-0.1971,0.0143,-0.3608,-0.0334,True
norm_fail_EC,G1,G2,-0.0023,0.9986,-0.1132,0.1086,False
norm_fail_EC,G1,G3,-0.1713,0.0012,-0.2822,-0.0604,True
norm_fail_EC,G2,G3,-0.169,0.0014,-0.2799,-0.0581,True
norm_fail_IV,G1,G2,-0.0729,0.4919,-0.2259,0.0801,False
norm_fail_IV,G1,G3,-0.6125,0.0,-0.7655,-0.4595,True
norm_fail_IV,G2,G3,-0.5396,0.0,-0.6926,-0.3866,True
norm_fail_TB,G1,G2,-0.0833,0.4473,-0.2503,0.0836,False
norm_fail_TB,G1,G3,-0.0833,0.4473,-0.2503,0.0836,False
norm_fail_TB,G2,G3,0.0,1.0,-0.167,0.167,False
