participant_id,specification,task,hidden_passed,hidden_failed,hidden_total,pass_rate,failure_count,before_ac,before_frs,before_invariants,before_neg_req,before_constraints,before_exception,before_tie_breaking,phase,id,total_prompts,explicitly_referred_to_specification,carried_constraints_from_spec,carried_edge_cases_from_spec,asked_to_preserve_invariants,asked_to_update_or_generate_tests_based_on_spec,omitted_important_spec_elements,carried_constraints_from_spec_appeared_at_least_once,carried_edge_cases_from_spec_appeared_at_least_once,asked_to_preserve_invariants_appeared_at_least_once,asked_to_update_or_generate_tests_based_on_spec_appeared_at_least_once,specified_element_categories_total,specified_element_categories_appeared,specified_element_categories_omitted,alignment_score,omission_rate
S0025,G2,B,15,18,33,0.45454545454545453,18,0,0,0,0,0,0,0,Phase 1,S0025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0026,G2,B,16,17,33,0.48484848484848486,17,1,0,0,0,1,0,0,Phase 1,S0026,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0027,G2,B,16,17,33,0.48484848484848486,17,1,0,0,0,1,0,0,Phase 1,S0027,4.0,1.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0028,G2,B,16,17,33,0.48484848484848486,17,1,0,0,0,1,0,0,Phase 1,S0028,5.0,1.0,1.0,1.0,0.0,0.0,2.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0029,G2,B,12,21,33,0.36363636363636365,21,1,0,0,0,1,0,0,Phase 1,S0029,6.0,1.0,1.0,1.0,0.0,0.0,1.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0030,G2,B,14,19,33,0.42424242424242425,19,1,0,0,0,1,0,0,Phase 1,S0030,5.0,1.0,2.0,2.0,1.0,1.0,1.0,True,True,True,True,4.0,4.0,0.0,1.0,0.0
S0031,G2,B,13,20,33,0.3939393939393939,20,1,0,0,0,1,0,0,Phase 1,S0031,7.0,1.0,4.0,4.0,0.0,1.0,1.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0032,G2,B,16,17,33,0.48484848484848486,17,1,0,0,0,1,0,0,Phase 1,S0032,5.0,1.0,3.0,3.0,0.0,0.0,2.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0033,G2,B,14,19,33,0.42424242424242425,19,1,0,0,0,1,0,0,Phase 1,S0033,6.0,1.0,1.0,1.0,0.0,1.0,0.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0034,G2,B,16,17,33,0.48484848484848486,17,1,0,0,0,1,0,0,Phase 1,S0034,8.0,1.0,1.0,1.0,0.0,0.0,1.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
