model,predictor,label,status,n,coef,odds_ratio,ci_low,ci_high,p_value,aic,p_adj_bh
single_before_ac,before_ac,Acceptance Criteria,ok,48,-1.0048579932225803,0.36609661931398463,0.29865893908915614,0.4487618387779739,3.9061298286529344e-22,438.5106557948675,2.5389843886244074e-21
single_before_frs,before_frs,Functional Requirements,ok,48,1.031090077772649,2.8041208791207026,2.286654107493431,3.438689690300372,3.906601107509911e-23,433.55776598158104,5.078581439762884e-22
single_before_invariants,before_invariants,Invariants,ok,48,0.9638342721546838,2.621729651162651,2.1387143439537857,3.213830955600475,1.7423283667439917e-20,446.31090733133055,5.662567191917972e-20
single_before_neg_req,before_neg_req,Negative Requirements,ok,48,0.9638342721546838,2.621729651162651,2.1387143439537857,3.213830955600475,1.7423283667439917e-20,446.31090733133055,5.662567191917972e-20
single_before_constraints,before_constraints,Constraints,ok,48,0.30756560916974907,1.3601100412652598,0.6805437634460988,2.718266515268866,0.3839812415135946,534.2555015999756,0.5546395710751922
single_before_exception,before_exception,Exception Handling,ok,48,0.3947807295298818,1.4840587449831806,1.201140658710932,1.8336156907091203,0.00025392952559587326,521.5106075756004,0.000412635479093294
single_before_tie_breaking,before_tie_breaking,Tie-Breaking Rules,ok,48,0.6878518283203313,1.9894372868463424,1.6246560795161218,2.4361221849939603,2.8181307743367194e-11,489.9375455574311,7.32714001327547e-11
adjusted_before_ac_task_condition,before_ac,Acceptance Criteria,ok,48,-0.0916982750190356,0.9123803959762483,0.4493093686891153,1.8527056076984534,0.7997075867773856,432.01067876123625,0.7997075867773858
adjusted_before_frs_task_condition,,,not_estimable_rank_deficient,48,,,,,,,
adjusted_before_invariants_task_condition,before_invariants,Invariants,ok,48,-0.22747127239108378,0.796545304010788,0.36206122268145696,1.752423020180377,0.5717722498199149,431.7456477760319,0.6757308406962631
adjusted_before_neg_req_task_condition,before_neg_req,Negative Requirements,ok,48,-0.22747127239108378,0.796545304010788,0.36206122268145696,1.752423020180377,0.5717722498199149,431.7456477760319,0.6757308406962631
adjusted_before_constraints_task_condition,before_constraints,Constraints,ok,48,-0.09169827501903566,0.9123803959762483,0.44930936868911464,1.8527056076984556,0.7997075867773858,432.01067876123636,0.7997075867773858
adjusted_before_exception_task_condition,before_exception,Exception Handling,ok,48,-0.8648450439535366,0.42111680216654834,0.3002741050628705,0.5905915897404773,5.392179388179771e-07,405.1563577352796,1.168305534105617e-06
adjusted_before_tie_breaking_task_condition,before_tie_breaking,Tie-Breaking Rules,ok,48,-1.342644552558227,0.26115411877056904,0.1426757846285189,0.4780171626769521,1.3429713680047984e-05,407.5869787828582,2.494089683437483e-05
