participant_id,specification,task,unknown_failed_tests,fail_CO,fail_count_CO,fail_IV,fail_count_IV,fail_TB,fail_count_TB,fail_EC,fail_count_EC,fail_AI,fail_count_AI
S0025,G2,B,,1,8,1,3,0,0,1,4,1,3
S0026,G2,B,,1,8,1,3,0,0,1,3,1,3
S0027,G2,B,,1,8,1,3,0,0,1,3,1,3
S0028,G2,B,,1,8,1,3,0,0,1,3,1,3
S0029,G2,B,,1,7,1,4,0,0,1,2,1,8
S0030,G2,B,,1,6,1,4,0,0,1,1,1,8
S0031,G2,B,,1,6,1,4,0,0,1,2,1,8
S0032,G2,B,,1,8,1,3,0,0,1,3,1,3
S0033,G2,B,,1,8,1,4,0,0,1,3,1,4
S0034,G2,B,,1,8,1,3,0,0,1,3,1,3
S0035,G2,B,,1,8,1,4,0,0,1,3,1,4
S0036,G2,B,,1,8,1,4,0,0,1,3,1,4
S0037,G2,A,,1,8,1,2,0,0,1,5,1,4
S0038,G2,A,,1,8,1,5,0,0,1,5,1,5
S0039,G2,A,,1,8,1,5,0,0,1,4,1,5
S0040,G2,A,,1,8,1,4,0,0,1,4,1,1
S0041,G2,A,,1,8,1,5,0,0,1,5,1,6
S0042,G2,A,,1,8,1,4,0,0,1,5,1,4
S0043,G2,A,,1,8,1,5,0,0,1,5,1,5
S0044,G2,A,,1,8,1,4,0,0,1,5,1,4
S0045,G2,A,,1,7,1,3,0,0,1,4,1,4
S0046,G2,A,,1,8,1,4,0,0,1,4,1,6
S0047,G2,A,,1,9,1,5,0,0,1,4,1,5
S0048,G2,A,,1,7,1,4,0,0,1,4,1,4
S0049,G3,A,,1,8,1,4,0,0,1,4,1,4
S0050,G3,B,,1,14,1,4,0,0,1,6,1,9
S0051,G3,B,,1,8,1,4,0,0,1,3,1,4
S0052,G3,B,,1,10,1,4,0,0,1,3,1,7
S0053,G3,A,,1,8,1,2,0,0,1,4,1,4
S0054,G3,A,,1,7,1,2,0,0,1,4,1,2
S0055,G3,A,,1,7,1,2,0,0,1,4,1,1
S0056,G3,A,,1,1,0,0,0,0,0,0,0,0
S0057,G3,A,,1,7,1,1,0,0,1,2,1,1
S0058,G3,A,,1,7,1,1,0,0,1,2,1,1
S0059,G3,A,,1,7,1,2,0,0,1,4,1,1
S0060,G3,A,,1,7,1,1,0,0,1,2,1,1
S0061,G3,A,,1,7,1,2,0,0,1,4,1,1
S0062,G3,A,,1,7,1,2,0,0,1,4,1,1
S0063,G3,A,,0,0,0,0,0,0,0,0,0,0
S0064,G3,B,,1,2,0,0,0,0,1,1,0,0
S0065,G3,B,,1,2,0,0,0,0,1,1,0,0
S0066,G3,B,,1,4,1,1,0,0,1,1,1,3
S0067,G3,B,,1,2,0,0,0,0,1,1,0,0
S0068,G3,B,,1,4,1,1,0,0,1,1,1,3
S0069,G3,B,,1,2,0,0,0,0,1,1,0,0
S0070,G3,B,,1,2,0,0,0,0,1,1,0,0
S0071,G3,B,,1,2,0,0,0,0,1,1,0,0
S0072,G3,B,,1,7,1,1,0,0,1,2,1,8
