participant_id,specification,task,pass_rate,failure_count,hidden_passed,hidden_failed,before_ac,before_frs,before_invariants,before_neg_req,before_constraints,before_exception,before_tie_breaking,clarification,debugging,other,code_generation,test_generation,total_prompts_from_type_file,clarification_share,code_generation_share,debugging_share,test_generation_share,other_share,alignment_score,omission_rate,specified_element_categories_appeared,specified_element_categories_omitted
S0025,G2,B,0.45454545454545453,18,15,18,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,4.0
S0026,G2,B,0.48484848484848486,17,16,17,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0
S0027,G2,B,0.48484848484848486,17,16,17,1,0,0,0,1,0,0,1.0,2.0,1.0,0.0,0.0,4.0,0.25,0.0,0.5,0.0,0.25,0.0,1.0,0.0,4.0
S0028,G2,B,0.48484848484848486,17,16,17,1,0,0,0,1,0,0,3.0,0.0,2.0,0.0,0.0,5.0,0.6,0.0,0.0,0.0,0.4,0.5,0.5,2.0,2.0
S0029,G2,B,0.36363636363636365,21,12,21,1,0,0,0,1,0,0,4.0,0.0,2.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,2.0,2.0
S0030,G2,B,0.42424242424242425,19,14,19,1,0,0,0,1,0,0,2.0,1.0,2.0,0.0,0.0,5.0,0.4,0.0,0.2,0.0,0.4,1.0,0.0,4.0,0.0
S0031,G2,B,0.3939393939393939,20,13,20,1,0,0,0,1,0,0,1.0,2.0,4.0,0.0,0.0,7.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.5714285714285714,0.75,0.25,3.0,1.0
S0032,G2,B,0.48484848484848486,17,16,17,1,0,0,0,1,0,0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.2,0.0,0.8,0.5,0.5,2.0,2.0
S0033,G2,B,0.42424242424242425,19,14,19,1,0,0,0,1,0,0,2.0,0.0,4.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.75,0.25,3.0,1.0
S0034,G2,B,0.48484848484848486,17,16,17,1,0,0,0,1,0,0,3.0,1.0,4.0,0.0,0.0,8.0,0.375,0.0,0.125,0.0,0.5,0.5,0.5,2.0,2.0
S0035,G2,B,0.42424242424242425,19,14,19,1,0,0,0,1,0,0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.5,2.0,2.0
S0036,G2,B,0.42424242424242425,19,14,19,1,0,0,0,1,0,0,2.0,0.0,6.0,0.0,0.0,8.0,0.25,0.0,0.0,0.0,0.75,0.75,0.25,3.0,1.0
S0037,G2,A,0.42424242424242425,19,14,19,1,0,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.75,0.25,3.0,1.0
S0038,G2,A,0.30303030303030304,23,10,23,1,0,0,0,1,0,0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,3.0,1.0
S0039,G2,A,0.3333333333333333,22,11,22,1,0,0,0,1,0,0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,1.0,3.0
S0040,G2,A,0.48484848484848486,17,16,17,1,0,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,4.0
S0041,G2,A,0.2727272727272727,24,9,24,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
S0042,G2,A,0.36363636363636365,21,12,21,1,0,0,0,1,0,0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,0.5,0.75,0.25,3.0,1.0
S0043,G2,A,0.30303030303030304,23,10,23,1,0,0,0,1,0,0,1.0,1.0,3.0,0.0,0.0,5.0,0.2,0.0,0.2,0.0,0.6,0.0,1.0,0.0,4.0
S0044,G2,A,0.36363636363636365,21,12,21,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
S0045,G2,A,0.45454545454545453,18,15,18,1,0,0,0,1,0,0,2.0,2.0,3.0,0.0,0.0,7.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.42857142857142855,0.5,0.5,2.0,2.0
S0046,G2,A,0.3333333333333333,22,11,22,1,0,0,0,1,0,0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
S0047,G2,A,0.30303030303030304,23,10,23,1,0,0,0,1,0,0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.75,0.25,3.0,1.0
