participant_id,specification,Task,clarification,debugging,other,code_generation,test_generation,total_prompts_from_type_file,clarification_share,code_generation_share,debugging_share,test_generation_share,other_share
S0025,G2,B,1,0,1,0,0,2,0.5,0.0,0.0,0.0,0.5
S0026,G2,B,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
S0027,G2,B,1,2,1,0,0,4,0.25,0.0,0.5,0.0,0.25
S0028,G2,B,3,0,2,0,0,5,0.6,0.0,0.0,0.0,0.4
S0029,G2,B,4,0,2,0,0,6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
S0030,G2,B,2,1,2,0,0,5,0.4,0.0,0.2,0.0,0.4
S0031,G2,B,1,2,4,0,0,7,0.14285714285714285,0.0,0.2857142857142857,0.0,0.5714285714285714
S0032,G2,B,0,1,4,0,0,5,0.0,0.0,0.2,0.0,0.8
S0033,G2,B,2,0,4,0,0,6,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
S0034,G2,B,3,1,4,0,0,8,0.375,0.0,0.125,0.0,0.5
S0035,G2,B,0,2,1,0,0,3,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
S0036,G2,B,2,0,6,0,0,8,0.25,0.0,0.0,0.0,0.75
S0037,G2,A,1,1,1,0,0,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
S0038,G2,A,0,0,2,0,0,2,0.0,0.0,0.0,0.0,1.0
S0039,G2,A,4,0,0,0,0,4,1.0,0.0,0.0,0.0,0.0
S0040,G2,A,1,0,1,0,0,2,0.5,0.0,0.0,0.0,0.5
S0041,G2,A,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0
S0042,G2,A,0,2,2,0,0,4,0.0,0.0,0.5,0.0,0.5
S0043,G2,A,1,1,3,0,0,5,0.2,0.0,0.2,0.0,0.6
S0044,G2,A,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
S0045,G2,A,2,2,3,0,0,7,0.2857142857142857,0.0,0.2857142857142857,0.0,0.42857142857142855
S0046,G2,A,0,2,0,0,0,2,0.0,0.0,1.0,0.0,0.0
S0047,G2,A,0,1,5,0,0,6,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
S0048,G2,A,0,6,4,0,0,10,0.0,0.0,0.6,0.0,0.4
S0049,G3,A,2,2,3,0,0,7,0.2857142857142857,0.0,0.2857142857142857,0.0,0.42857142857142855
S0051,G3,B,5,1,4,0,0,10,0.5,0.0,0.1,0.0,0.4
S0052,G3,B,7,0,3,0,0,10,0.7,0.0,0.0,0.0,0.3
S0053,G3,A,0,2,4,0,0,6,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
S0054,G3,A,1,0,1,0,0,2,0.5,0.0,0.0,0.0,0.5
S0055,G3,A,2,0,3,0,0,5,0.4,0.0,0.0,0.0,0.6
S0056,G3,A,5,0,7,0,0,12,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334
S0057,G3,A,0,1,3,0,0,4,0.0,0.0,0.25,0.0,0.75
S0058,G3,A,2,1,3,0,0,6,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5
S0059,G3,A,2,1,1,0,0,4,0.5,0.0,0.25,0.0,0.25
S0060,G3,A,0,1,4,0,0,5,0.0,0.0,0.2,0.0,0.8
S0061,G3,A,0,0,3,0,0,3,0.0,0.0,0.0,0.0,1.0
S0062,G3,A,1,1,1,0,0,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
S0063,G3,A,2,0,2,0,0,4,0.5,0.0,0.0,0.0,0.5
S0064,G3,B,3,0,3,0,0,6,0.5,0.0,0.0,0.0,0.5
S0065,G3,B,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
S0066,G3,B,1,0,4,0,0,5,0.2,0.0,0.0,0.0,0.8
S0067,G3,B,0,1,2,0,0,3,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
S0068,G3,B,0,0,2,0,0,2,0.0,0.0,0.0,0.0,1.0
S0069,G3,B,0,1,2,0,0,3,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
S0070,G3,B,0,1,2,0,0,3,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
S0071,G3,B,8,0,5,0,0,13,0.6153846153846154,0.0,0.0,0.0,0.38461538461538464
S0072,G3,B,0,0,2,0,0,2,0.0,0.0,0.0,0.0,1.0
