prompt_type_variable,outcome,n,spearman_rho,p_value,p_adj_bh
clarification,pass_rate,47,0.022026862942382524,0.8831635923507136,0.8831635923507136
clarification,failure_count,47,-0.022026862942382524,0.8831635923507136,0.8831635923507136
clarification,alignment_score,47,0.029490561339572646,0.844003096882849,0.8831635923507136
clarification,omission_rate,47,-0.029490561339572646,0.844003096882849,0.8831635923507136
code_generation,pass_rate,47,,,
code_generation,failure_count,47,,,
code_generation,alignment_score,47,,,
code_generation,omission_rate,47,,,
debugging,pass_rate,47,-0.23630314641031466,0.10979192041948413,0.4391676816779365
debugging,failure_count,47,0.23630314641031466,0.10979192041948413,0.4391676816779365
debugging,alignment_score,47,0.10912385284990862,0.465295313554128,0.7976491089499337
debugging,omission_rate,47,-0.10912385284990862,0.465295313554128,0.7976491089499337
test_generation,pass_rate,47,,,
test_generation,failure_count,47,,,
test_generation,alignment_score,47,,,
test_generation,omission_rate,47,,,
other,pass_rate,47,0.12936803511212533,0.38612256861475613,0.7722451372295123
other,failure_count,47,-0.12936803511212533,0.38612256861475613,0.7722451372295123
other,alignment_score,47,0.44608835071875513,0.0016738646946213426,0.020086376335456114
other,omission_rate,47,-0.44608835071875513,0.0016738646946213426,0.020086376335456114
clarification_share,pass_rate,47,0.03508368923039796,0.8148941604044289,0.8831635923507136
clarification_share,failure_count,47,-0.03508368923039796,0.8148941604044289,0.8831635923507136
clarification_share,alignment_score,47,-0.06000386065762399,0.6886778338266039,0.8831635923507136
clarification_share,omission_rate,47,0.06000386065762399,0.6886778338266039,0.8831635923507136
code_generation_share,pass_rate,47,,,
code_generation_share,failure_count,47,,,
code_generation_share,alignment_score,47,,,
code_generation_share,omission_rate,47,,,
debugging_share,pass_rate,47,-0.18204367308382935,0.22069332941558906,0.5296639905974138
debugging_share,failure_count,47,0.18204367308382935,0.22069332941558906,0.5296639905974138
debugging_share,alignment_score,47,0.026543320811050226,0.859427579210263,0.8831635923507136
debugging_share,omission_rate,47,-0.026543320811050226,0.859427579210263,0.8831635923507136
test_generation_share,pass_rate,47,,,
test_generation_share,failure_count,47,,,
test_generation_share,alignment_score,47,,,
test_generation_share,omission_rate,47,,,
other_share,pass_rate,47,0.27989379282453114,0.056719798279943466,0.34031878967966084
other_share,failure_count,47,-0.27989379282453114,0.056719798279943466,0.34031878967966084
other_share,alignment_score,47,0.19490905462381028,0.18922334406526728,0.5296639905974138
other_share,omission_rate,47,-0.19490905462381028,0.18922334406526728,0.5296639905974138
