,missing_n,available_n
anon_id,0,72
specification,0,72
Task,0,72
regression_occurrence,0,72
regression_severity,0,72
regression_rate,1,71
llm_familiarity,7,65
python_skill,7,65
p1_total_prompt_count,2,70
p2_total_prompt_count,0,72
delta_total_prompt_count,2,70
p1_average_prompt_len,2,70
p2_average_prompt_len,0,72
delta_average_prompt_len,2,70
p2_clarification_count,0,72
p2_debugging_count,0,72
p2_code_generation_count,0,72
p2_test_generation_count,0,72
phase2_alignment_score,24,48
phase2_omission_rate,24,48
alignment_score_change,25,47
