anon_id,specification,Task,regression_occurrence,regression_severity,regression_rate,llm_familiarity,python_skill,p1_total_prompt_count,p2_total_prompt_count,delta_total_prompt_count,p1_average_prompt_len,p2_average_prompt_len,delta_average_prompt_len,p2_clarification_count,p2_debugging_count,p2_code_generation_count,p2_test_generation_count,phase2_alignment_score,phase2_omission_rate,alignment_score_change
S0001,G1,A,0,0,0.0,3.0,3.0,6.0,22,16.0,153.16666666666666,76.0909090909091,-77.07575757575756,9,6,1,6,,,
S0002,G1,A,0,0,0.0,,,7.0,8,1.0,32.714285714285715,107.75,75.03571428571428,3,1,1,3,,,
S0003,G1,A,0,0,0.0,5.0,2.0,9.0,5,-4.0,96.33333333333331,241.6,145.26666666666668,2,0,2,1,,,
S0004,G1,A,0,0,0.0,1.0,3.0,,1,,,388.0,,0,0,1,0,,,
S0005,G1,A,0,0,0.0,3.0,2.0,6.0,11,5.0,94.5,111.1818181818182,16.6818181818182,5,0,4,2,,,
S0006,G1,A,0,0,0.0,5.0,4.0,3.0,7,4.0,9.333333333333334,81.71428571428571,72.38095238095238,2,1,2,2,,,
S0007,G1,A,0,0,0.0,4.0,4.0,3.0,1,-2.0,116.33333333333331,487.0,370.6666666666667,0,0,1,0,,,
S0008,G1,A,0,0,0.0,4.0,1.0,6.0,7,1.0,81.5,91.0,9.5,1,2,2,2,,,
S0009,G1,A,0,0,0.0,,,17.0,10,-7.0,158.94117647058823,140.6,-18.341176470588238,7,1,1,1,,,
S0010,G1,A,0,0,0.0,3.0,4.0,3.0,10,7.0,189.66666666666663,60.5,-129.16666666666663,6,1,1,2,,,
S0011,G1,A,0,0,0.0,5.0,3.0,6.0,1,-5.0,208.5,565.0,356.5,0,0,1,0,,,
S0012,G1,A,0,0,0.0,,,3.0,4,1.0,109.33333333333331,182.5,73.16666666666669,1,0,2,1,,,
S0013,G1,B,0,0,0.0,3.0,3.0,5.0,3,-2.0,26.8,163.33333333333334,136.53333333333333,1,0,2,0,,,
S0014,G1,B,1,1,0.07692307692307693,4.0,4.0,2.0,7,5.0,380.5,179.71428571428572,-200.78571428571428,4,2,1,0,,,
S0015,G1,B,0,0,0.0,4.0,4.0,4.0,4,0.0,96.25,132.5,36.25,1,0,2,1,,,
S0016,G1,B,0,0,0.0,4.0,5.0,6.0,5,-1.0,16.0,73.2,57.2,2,0,1,2,,,
S0017,G1,B,0,0,0.0,2.0,2.0,2.0,3,1.0,6.0,153.33333333333334,147.33333333333334,1,0,2,0,,,
S0018,G1,B,0,0,0.0,2.0,2.0,3.0,7,4.0,225.66666666666663,100.85714285714286,-124.80952380952377,1,0,4,2,,,
S0019,G1,B,0,0,0.0,4.0,3.0,7.0,5,-2.0,63.142857142857146,86.4,23.25714285714286,3,0,1,1,,,
S0020,G1,B,0,0,0.0,4.0,5.0,3.0,6,3.0,138.0,73.66666666666667,-64.33333333333333,3,0,2,1,,,
S0021,G1,B,0,0,0.0,,,5.0,4,-1.0,134.0,119.75,-14.25,1,0,2,1,,,
S0022,G1,B,0,0,0.0,4.0,4.0,2.0,3,1.0,81.0,251.33333333333337,170.33333333333337,0,0,2,1,,,
S0023,G1,B,1,1,0.0625,4.0,2.0,3.0,5,2.0,68.66666666666667,111.4,42.733333333333334,1,1,2,1,,,
S0024,G1,B,0,0,0.0,4.0,3.0,4.0,3,-1.0,17.5,112.66666666666669,95.16666666666669,1,0,1,1,,,
