id,specification,Task,hidden_passed,hidden_failed,predicted_raw,phase,Q2,Q4,llm_familiarity,python_skill,predicted_categ,predicted_midpoint_pct,total_hidden_tests,actual_pct,actual_categ,overconfidence_pp,abs_calibration_error_pp,ordinal_calibration_gap,well_calibrated_bin,overconfident_bin,underconfident_bin
S0001,G1,A,10,23,1.0,Phase 1,3.0,3.0,3.0,3.0,1.0,10.0,33,30.303030303030305,2,-20.303030303030305,20.303030303030305,-1.0,0.0,0.0,1.0
S0002,G1,A,12,21,4.0,Phase 1,,,,,4.0,70.0,33,36.36363636363637,2,33.63636363636363,33.63636363636363,2.0,0.0,1.0,0.0
S0003,G1,A,10,23,4.0,Phase 1,5.0,2.0,5.0,2.0,4.0,70.0,33,30.303030303030305,2,39.696969696969695,39.696969696969695,2.0,0.0,1.0,0.0
S0004,G1,A,5,28,3.0,Phase 1,1.0,3.0,1.0,3.0,3.0,50.0,33,15.151515151515152,1,34.848484848484844,34.848484848484844,2.0,0.0,1.0,0.0
S0005,G1,A,13,20,1.0,Phase 1,3.0,2.0,3.0,2.0,1.0,10.0,33,39.39393939393939,2,-29.39393939393939,29.39393939393939,-1.0,0.0,0.0,1.0
S0006,G1,A,12,21,3.0,Phase 1,5.0,4.0,5.0,4.0,3.0,50.0,33,36.36363636363637,2,13.636363636363633,13.636363636363633,1.0,0.0,1.0,0.0
S0007,G1,A,10,23,3.0,Phase 1,4.0,4.0,4.0,4.0,3.0,50.0,33,30.303030303030305,2,19.696969696969695,19.696969696969695,1.0,0.0,1.0,0.0
S0008,G1,A,13,20,4.0,Phase 1,4.0,1.0,4.0,1.0,4.0,70.0,33,39.39393939393939,2,30.60606060606061,30.60606060606061,2.0,0.0,1.0,0.0
S0009,G1,A,10,23,4.0,Phase 1,,,,,4.0,70.0,33,30.303030303030305,2,39.696969696969695,39.696969696969695,2.0,0.0,1.0,0.0
S0010,G1,A,10,23,5.0,Phase 1,3.0,4.0,3.0,4.0,5.0,90.0,33,30.303030303030305,2,59.696969696969695,59.696969696969695,3.0,0.0,1.0,0.0
S0011,G1,A,11,22,3.0,Phase 1,5.0,3.0,5.0,3.0,3.0,50.0,33,33.333333333333336,2,16.666666666666664,16.666666666666664,1.0,0.0,1.0,0.0
S0012,G1,A,12,21,3.0,Phase 1,,,,,3.0,50.0,33,36.36363636363637,2,13.636363636363633,13.636363636363633,1.0,0.0,1.0,0.0
S0013,G1,B,14,19,3.0,Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,42.42424242424242,3,7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0014,G1,B,13,20,1.0,Phase 1,4.0,4.0,4.0,4.0,1.0,10.0,33,39.39393939393939,2,-29.39393939393939,29.39393939393939,-1.0,0.0,0.0,1.0
S0015,G1,B,12,21,3.0,Phase 1,4.0,4.0,4.0,4.0,3.0,50.0,33,36.36363636363637,2,13.636363636363633,13.636363636363633,1.0,0.0,1.0,0.0
S0016,G1,B,14,19,4.0,Phase 1,4.0,5.0,4.0,5.0,4.0,70.0,33,42.42424242424242,3,27.575757575757578,27.575757575757578,1.0,0.0,1.0,0.0
