term,estimate,std_error,p_value,ci_low,ci_high,p_adj_fdr
Intercept,1.1857200791724507,13.801244468042464,0.9315347844631493,-25.864222020023433,28.235662178368337,
"C(specification, Treatment(reference=""G1""))[T.G2]",-13.196624886165619,7.926512198387482,0.09593837934209842,-28.732303318022492,2.339053545691254,0.15350140694735748
"C(specification, Treatment(reference=""G1""))[T.G3]",-45.33370949147373,7.9270229154612055,1.0722715826461441e-08,-60.870388910401395,-29.79703007254607,8.578172661169153e-08
"C(phase, Treatment(reference=""Phase 1""))[T.Phase 2]",3.303030303030304,6.115959677558991,0.5891505674312104,-8.68403039588452,15.290091001945129,0.6733149342070976
C(Task)[T.B],-13.338544102207,5.314248802933444,0.012074534139022769,-23.754280360841648,-2.9228078435723557,0.032198757704060714
"C(specification, Treatment(reference=""G1""))[T.G2]:C(phase, Treatment(reference=""Phase 1""))[T.Phase 2]",-24.751925668314488,8.566916321110762,0.0038616727875186237,-41.54277311625996,-7.961078220369018,0.015446691150074495
"C(specification, Treatment(reference=""G1""))[T.G3]:C(phase, Treatment(reference=""Phase 1""))[T.Phase 2]",0.014397904961102968,8.521956997578265,0.9986519691880148,-16.688330888091386,16.717126698013594,0.9986519691880148
python_skill,5.640989778752235,2.916835492178831,0.05312029678557997,-0.07590273474643539,11.357882292250906,0.10624059357115993
llm_familiarity,2.5638461729046393,3.0140404049990366,0.3949725254840204,-3.3435644688419903,8.47125681465127,0.5266300339786939
Group Var,0.6879578776427344,0.323424194809856,0.03341119151238188,0.05405810408655032,1.3218576511989184,
