id,Q2,Q4,llm_familiarity,python_skill
S0041,2.0,1.0,2.0,1.0
S0066,4.0,1.0,4.0,1.0
S0057,2.0,1.0,2.0,1.0
,3.0,1.0,3.0,1.0
S0008,4.0,1.0,4.0,1.0
S0070,2.0,1.0,2.0,1.0
S0029,5.0,2.0,5.0,2.0
S0071,2.0,2.0,2.0,2.0
,3.0,2.0,3.0,2.0
S0028,2.0,2.0,2.0,2.0
S0039,3.0,2.0,3.0,2.0
S0058,5.0,2.0,5.0,2.0
S0065,4.0,2.0,4.0,2.0
S0072,4.0,2.0,4.0,2.0
S0060,3.0,2.0,3.0,2.0
S0061,3.0,2.0,3.0,2.0
S0044,3.0,2.0,3.0,2.0
S0031,4.0,2.0,4.0,2.0
S0005,3.0,2.0,3.0,2.0
S0018,2.0,2.0,2.0,2.0
S0003,5.0,2.0,5.0,2.0
S0017,2.0,2.0,2.0,2.0
S0046,3.0,2.0,3.0,2.0
S0043,5.0,2.0,5.0,2.0
S0045,4.0,3.0,4.0,3.0
S0068,3.0,3.0,3.0,3.0
S0019,4.0,3.0,4.0,3.0
S0059,3.0,3.0,3.0,3.0
S0055,3.0,3.0,3.0,3.0
S0069,3.0,3.0,3.0,3.0
S0042,3.0,3.0,3.0,3.0
S0025,4.0,3.0,4.0,3.0
S0047,3.0,3.0,3.0,3.0
S0026,3.0,3.0,3.0,3.0
S0067,4.0,3.0,4.0,3.0
S0063,3.0,3.0,3.0,3.0
S0030,3.0,3.0,3.0,3.0
S0056,4.0,3.0,4.0,3.0
S0036,4.0,3.0,4.0,3.0
S0064,4.0,3.0,4.0,3.0
S0035,4.0,3.0,4.0,3.0
S0034,4.0,3.0,4.0,3.0
S0027,4.0,3.0,4.0,3.0
S0048,3.0,3.0,3.0,3.0
S0040,2.0,3.0,2.0,3.0
S0001,3.0,3.0,3.0,3.0
S0004,1.0,3.0,1.0,3.0
,2.0,3.0,2.0,3.0
S0013,3.0,3.0,3.0,3.0
S0014,4.0,4.0,4.0,4.0
S0033,4.0,4.0,4.0,4.0
S0010,3.0,4.0,3.0,4.0
S0062,3.0,4.0,3.0,4.0
S0007,4.0,4.0,4.0,4.0
S0006,5.0,4.0,5.0,4.0
S0015,4.0,4.0,4.0,4.0
,3.0,4.0,3.0,4.0
S0054,2.0,4.0,2.0,4.0
S0016,4.0,5.0,4.0,5.0
S0020,4.0,5.0,4.0,5.0
,,,,
,,,,
,,,,
S0011,5.0,3.0,5.0,3.0
S0022,4.0,4.0,4.0,4.0
S0023,4.0,2.0,4.0,2.0
S0024,4.0,3.0,4.0,3.0
S0037,4.0,4.0,4.0,4.0
S0038,5.0,4.0,5.0,4.0
S0049,4.0,3.0,4.0,3.0
S0053,4.0,5.0,4.0,5.0
S0052,4.0,3.0,4.0,3.0
