id,total_prompt_count,total_prompt_len,average_prompt_len
S0001,22,1674,76.0909090909091
S0002,8,862,107.75
S0003,5,1208,241.6
S0004,1,388,388.0
S0005,11,1223,111.18181818181819
S0006,7,572,81.71428571428571
S0007,1,487,487.0
S0008,7,637,91.0
S0009,10,1406,140.6
S0010,10,605,60.5
S0011,1,565,565.0
S0012,4,730,182.5
S0013,3,490,163.33333333333334
S0014,7,1258,179.71428571428572
S0015,4,530,132.5
S0016,5,366,73.2
S0017,3,460,153.33333333333334
S0018,7,706,100.85714285714286
S0019,5,432,86.4
S0020,6,442,73.66666666666667
S0021,4,479,119.75
S0022,3,754,251.33333333333334
S0023,5,557,111.4
S0024,3,338,112.66666666666667
S0025,3,702,234.0
S0026,6,655,109.16666666666667
S0027,1,648,648.0
S0028,8,757,94.625
S0029,6,842,140.33333333333334
S0030,3,966,322.0
S0031,7,1124,160.57142857142858
S0032,4,486,121.5
S0033,12,722,60.166666666666664
S0034,2,628,314.0
S0035,3,422,140.66666666666666
S0036,8,1495,186.875
S0037,5,3440,688.0
S0038,3,2652,884.0
S0039,3,896,298.6666666666667
S0040,2,667,333.5
S0041,2,601,300.5
S0042,4,1296,324.0
S0043,2,664,332.0
S0044,2,606,303.0
S0045,8,1562,195.25
S0046,4,665,166.25
S0047,2,764,382.0
S0048,2,1460,730.0
S0049,4,862,215.5
S0050,2,517,258.5
S0051,12,2077,173.08333333333334
S0052,1,691,691.0
S0053,2,1046,523.0
S0054,2,819,409.5
S0055,6,868,144.66666666666666
S0056,16,1221,76.3125
S0057,5,1258,251.6
S0058,10,2357,235.7
S0059,6,1347,224.5
S0060,9,1166,129.55555555555554
S0061,5,2495,499.0
S0062,5,1014,202.8
S0063,5,1077,215.4
S0064,6,898,149.66666666666666
S0065,2,715,357.5
S0066,3,872,290.6666666666667
S0067,4,635,158.75
S0068,2,653,326.5
S0069,3,522,174.0
S0070,3,664,221.33333333333334
S0071,17,793,46.64705882352941
S0072,3,1012,337.3333333333333
