id,total_prompt_count,total_prompt_len,average_prompt_len,clarification_count,debugging_count,code_generation_count,test_generation_count
S0001,22,1674,76.0909090909091,9,6,1,6
S0002,8,862,107.75,3,1,1,3
S0003,5,1208,241.6,2,0,2,1
S0004,1,388,388.0,0,0,1,0
S0005,11,1223,111.1818181818182,5,0,4,2
S0006,7,572,81.71428571428571,2,1,2,2
S0007,1,487,487.0,0,0,1,0
S0008,7,637,91.0,1,2,2,2
S0009,10,1406,140.6,7,1,1,1
S0010,10,605,60.5,6,1,1,2
S0011,1,565,565.0,0,0,1,0
S0012,4,730,182.5,1,0,2,1
S0013,3,490,163.33333333333334,1,0,2,0
S0014,7,1258,179.71428571428572,4,2,1,0
S0015,4,530,132.5,1,0,2,1
S0016,5,366,73.2,2,0,1,2
S0017,3,460,153.33333333333334,1,0,2,0
S0018,7,706,100.85714285714286,1,0,4,2
S0019,5,432,86.4,3,0,1,1
S0020,6,442,73.66666666666667,3,0,2,1
S0021,4,479,119.75,1,0,2,1
S0022,3,754,251.33333333333337,0,0,2,1
S0023,5,557,111.4,1,1,2,1
S0024,3,338,112.66666666666669,1,0,1,1
S0025,3,702,234.0,1,0,1,1
S0026,6,655,109.16666666666669,4,0,1,1
S0027,1,648,648.0,0,0,1,0
S0028,8,757,94.625,5,0,3,0
S0029,6,842,140.33333333333334,3,0,2,1
S0030,3,966,322.0,1,1,1,0
S0031,7,1124,160.57142857142858,4,0,2,1
S0032,4,486,121.5,1,0,2,1
S0033,12,722,60.166666666666664,4,0,3,5
S0034,2,628,314.0,1,0,1,0
S0035,3,422,140.66666666666666,1,0,1,1
S0036,8,1495,186.875,2,0,3,3
S0037,5,3440,688.0,1,1,1,2
S0038,3,2652,884.0,0,0,2,1
S0039,3,896,298.6666666666667,1,0,1,1
S0040,2,667,333.5,1,0,1,0
S0041,2,601,300.5,0,0,2,0
S0042,4,1296,324.0,0,0,2,2
S0043,2,664,332.0,0,0,2,0
S0044,2,606,303.0,0,0,1,1
S0045,8,1562,195.25,2,2,3,1
S0046,4,665,166.25,0,2,2,0
S0047,2,764,382.0,0,1,1,0
S0048,2,1460,730.0,0,0,2,0
S0049,4,862,215.5,1,0,2,1
S0050,2,517,258.5,0,0,2,0
S0051,12,2077,173.08333333333334,6,0,6,0
S0052,1,691,691.0,0,0,1,0
S0053,2,1046,523.0,0,0,2,0
S0054,2,819,409.5,1,0,1,0
S0055,6,868,144.66666666666666,3,0,3,0
S0056,16,1221,76.3125,6,0,7,3
S0057,5,1258,251.6,0,1,4,0
S0058,10,2357,235.7,3,1,3,3
S0059,6,1347,224.5,2,2,1,1
S0060,9,1166,129.55555555555554,0,3,3,3
S0061,5,2495,499.0,0,0,3,2
S0062,5,1014,202.8,2,1,1,1
S0063,5,1077,215.4,2,0,3,0
S0064,6,898,149.66666666666666,3,0,2,1
S0065,2,715,357.5,0,0,2,0
S0066,3,872,290.6666666666667,0,0,2,1
S0067,4,635,158.75,0,1,2,1
S0068,2,653,326.5,0,0,2,0
S0069,3,522,174.0,1,0,2,0
S0070,3,664,221.33333333333337,0,1,2,0
S0071,17,793,46.64705882352941,9,1,4,3
S0072,3,1012,337.3333333333333,0,0,3,0
