phase,id,total_prompts,explicitly_referred_to_specification,carried_constraints_from_spec,carried_edge_cases_from_spec,asked_to_preserve_invariants,asked_to_update_or_generate_tests_based_on_spec,omitted_important_spec_elements,carried_constraints_from_spec_appeared_at_least_once,carried_edge_cases_from_spec_appeared_at_least_once,asked_to_preserve_invariants_appeared_at_least_once,asked_to_update_or_generate_tests_based_on_spec_appeared_at_least_once,specified_element_categories_total,specified_element_categories_appeared,specified_element_categories_omitted,alignment_score,omission_rate
Phase 2,S0025,3,1,1,1,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0026,6,2,2,1,2,1,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0027,1,1,1,1,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0028,8,2,3,2,2,1,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0029,6,1,2,0,1,1,0,True,False,True,True,4,3,1,0.75,0.25
Phase 2,S0030,3,1,2,2,1,1,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0031,7,1,2,2,0,2,2,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0032,4,1,1,1,0,2,2,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0033,12,1,2,1,1,3,5,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0034,2,1,1,1,1,1,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0035,3,1,0,0,1,1,0,False,False,True,True,4,2,2,0.5,0.5
Phase 2,S0036,8,1,3,4,1,2,4,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0037,5,2,4,3,1,3,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0038,3,2,3,3,0,2,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0039,3,2,2,2,0,2,3,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0040,2,1,1,0,0,1,1,True,False,False,True,4,2,2,0.5,0.5
Phase 2,S0041,2,1,2,2,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0042,4,2,2,2,1,2,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0043,2,1,2,2,1,2,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0044,2,2,2,1,1,2,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0045,8,1,4,2,2,2,4,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0046,4,1,1,1,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0047,2,1,1,0,1,1,1,True,False,True,True,4,3,1,0.75,0.25
Phase 2,S0048,2,2,2,2,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0049,4,1,2,2,1,2,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0050,2,1,2,1,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0051,12,2,11,3,7,1,10,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0052,1,1,1,1,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0053,2,2,2,2,0,2,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0054,2,1,1,1,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0055,6,2,2,2,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0056,16,3,5,4,0,3,4,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0057,5,3,4,3,1,3,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0058,10,4,4,4,1,3,3,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0059,6,1,3,3,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0060,9,3,4,3,2,2,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0061,5,4,4,4,2,3,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0062,5,2,2,2,2,0,0,True,True,True,False,4,3,1,0.75,0.25
Phase 2,S0063,5,4,2,3,1,2,3,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0064,6,3,1,2,2,2,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0065,2,2,1,1,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0066,3,1,2,2,1,2,3,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0067,4,1,1,1,0,1,3,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0068,2,1,1,1,0,1,2,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0069,3,1,1,1,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0070,3,1,2,2,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0071,17,3,2,0,1,2,1,True,False,True,True,4,3,1,0.75,0.25
Phase 2,S0072,3,1,3,3,0,2,1,True,True,False,True,4,3,1,0.75,0.25
